"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Vapor born of the Earth","Tonani, F; Demians, D; Archimbaud, J","15 GEOTHERMAL ENERGY; HYDROTHERMAL SYSTEMS; NATURAL STEAM; EARTH CRUST; GEOTHERMAL ENERGY; ENERGY; ENERGY SOURCES; FLUIDS; GEOTHERMAL FLUIDS; GEOTHERMAL SYSTEMS; RENEWABLE ENERGY SOURCES; STEAM; 150200* - Geology & Hydrology of Geothermal Systems; 152000 - Geothermal Data & Theory","","","","","","","United States","1971-02-01T00:00:00Z","English","Journal Article","","Journal Name: Sci. Prog. Decouverte; Journal Volume: 3430","","Medium: X; Size: Pages: 27-35","","","","Journal ID: CODEN: SPDVB","","","2009-12-16T00:00:00Z","5174368","https://www.osti.gov/biblio/5174368","","Sci. Prog. Decouverte","","3430"
"Geothermal activity heating up in the West","","15 GEOTHERMAL ENERGY; USA; GEOTHERMAL RESOURCES; EXPLOITATION; GEOTHERMAL ENERGY; ENERGY; ENERGY SOURCES; NORTH AMERICA; RENEWABLE ENERGY SOURCES; RESOURCES; 150101* - Geothermal Energy- Resources & Availability- USA- (-1989)","","","","","","","United States","1971-01-15T00:00:00Z","English","Journal Article","","Journal Name: Electr. World; (United States); Journal Volume: 175; Other Information: From Power from the Earth: Geothermal Energy (Bibliography), p. 4","","Medium: X; Size: Pages: 25-6","","","","Journal ID: CODEN: ELWOA","","","2009-12-16T00:00:00Z","5140853","https://www.osti.gov/biblio/5140853","","Electr. World; (United States)","","175"
"Geothermal Steam Act of 1970; procedure to be followed in claiming rights","","15 GEOTHERMAL ENERGY; GEOTHERMAL RESOURCES; LEGISLATION; USA; NORTH AMERICA; RESOURCES; 150400* - Geothermal Energy- Legislation & Regulations","","","","","","","United States","1971-01-15T00:00:00Z","English","Journal Article","","Journal Name: Fed. Regist. (Wash., D.C.); (United States); Other Information: From Power from the Earth: Geothermal Energy (Bibliography), p. 27","","Medium: X; Size: Pages: 623","","","","Journal ID: CODEN: FEREA","","","2009-12-16T00:00:00Z","5195904","https://www.osti.gov/biblio/5195904","","Fed. Regist. (Wash., D.C.); (United States)","",""
"Quality of natural waters in the vicinity of Akita-Komagatake Volcano soon after the eruption in 1970","Kato, T; Shida, I","15 GEOTHERMAL ENERGY; HOT SPRINGS; CHEMICAL COMPOSITION; WATER QUALITY; CHLORIDES; JAPAN; LAKES; RIVERS; SULFIDES; THERMAL WATERS; VOLCANIC REGIONS; WATER; ASIA; CHALCOGENIDES; CHLORINE COMPOUNDS; HALIDES; HALOGEN COMPOUNDS; HYDROGEN COMPOUNDS; OXYGEN COMPOUNDS; STREAMS; SULFUR COMPOUNDS; SURFACE WATERS; THERMAL SPRINGS; 150202* - Geology & Hydrology of Geothermal Systems- Non-USA- (-1989)","","","","Yamagata Univ., Yamagata, Japan","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Kazan; (); Journal Volume: 16:2/3","","Medium: X; Size: Pages: 90-7","","","","Journal ID: CODEN: KAZAA","","","2009-12-16T00:00:00Z","5036687","https://www.osti.gov/biblio/5036687","","Kazan; ()","","16:2/3"
"Deep drilling for mineralized thermal waters in Bad Ueberkingen, Goeppingen area, Baden--Wuerttemberg. [5 hot springs, 30. 5 to 40. 2/sup 0/C]","Carle, W","15 GEOTHERMAL ENERGY; GERMAN FEDERAL REPUBLIC; THERMAL WATERS; CHEMICAL COMPOSITION; CALCIUM CHLORIDES; CALCIUM SULFATES; DRILLING; HOT SPRINGS; MAGNESIUM SULFATES; MINERALS; SODIUM CARBONATES; SODIUM CHLORIDES; SODIUM SULFATES; ALKALI METAL COMPOUNDS; ALKALINE EARTH METAL COMPOUNDS; CALCIUM COMPOUNDS; CALCIUM HALIDES; CARBON COMPOUNDS; CARBONATES; CHLORIDES; CHLORINE COMPOUNDS; EUROPE; HALIDES; HALOGEN COMPOUNDS; MAGNESIUM COMPOUNDS; OXYGEN COMPOUNDS; SODIUM COMPOUNDS; SULFATES; SULFUR COMPOUNDS; THERMAL SPRINGS; 150302* - Geothermal Exploration & Exploration Technology- Geochemical Techniques & Surveys","","","","Korntal, Germany","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Jahresh. Ver. Vaterl. Naturkd. Wuerttemb.; (); Journal Volume: 126","","Medium: X; Size: Pages: 36-87","","","","","","","2009-12-16T00:00:00Z","5085600","https://www.osti.gov/biblio/5085600","","Jahresh. Ver. Vaterl. Naturkd. Wuerttemb.; ()","","126"
"Approximate evaluation of the pH of hydrothermal solutions in equilibrium with country rocks of acid composition","Masalovich, A M; Ovchinnikov, L N","15 GEOTHERMAL ENERGY; THERMAL WATERS; PH VALUE; CHEMICAL REACTIONS; EQUILIBRIUM; HYDROCHLORIC ACID; POTASSIUM CHLORIDES; REACTION KINETICS; ROCKS; SOLUTIONS; ALKALI METAL COMPOUNDS; CHLORIDES; CHLORINE COMPOUNDS; DISPERSIONS; HALIDES; HALOGEN COMPOUNDS; HYDROGEN COMPOUNDS; INORGANIC ACIDS; KINETICS; MIXTURES; POTASSIUM COMPOUNDS; 152003* - Geothermal Data & Theory- Rock-Water-Gas Interactions","","","","Inst. Miner., Geokhim. Kristallokhim. Redk. Elem., Moscow","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Tr. Vses. Nauch.-Issled. Inst. Sin. Miner. Syr'ya; (); Journal Volume: 14","","Medium: X; Size: Pages: 109-13","","","","","","","2009-12-16T00:00:00Z","5078634","https://www.osti.gov/biblio/5078634","","Tr. Vses. Nauch.-Issled. Inst. Sin. Miner. Syr'ya; ()","","14"
"Internal structure of Old Faithful Geyser as deduced from physical evidence","Barbee, J H","15 GEOTHERMAL ENERGY; OLD FAITHFUL GEYSER; GEOLOGY; HYDROLOGY; FLUID FLOW; GEOLOGIC STRUCTURES; MIXTURES; NATURAL STEAM; THERMAL WATERS; DISPERSIONS; FLUIDS; GEOTHERMAL FLUIDS; GEYSERS; STEAM; 150201* - Geology & Hydrology of Geothermal Systems- USA- (-1989)","","","","Montana State Univ., Bozeman. Dept. of Chemical Engineering","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Earth Sci. Bull.; (United States); Journal Volume: 4:4","","Medium: X; Size: Pages: 9-16","","","","Journal ID: CODEN: ESCBA","","","2009-12-16T00:00:00Z","5078745","https://www.osti.gov/biblio/5078745","","Earth Sci. Bull.; (United States)","","4:4"
"Mineralization of the thermal water fissures of Wildbad","Maus, H","15 GEOTHERMAL ENERGY; THERMAL WATERS; MINERALS; BARITE; BOREHOLES; CARBONATES; CLAYS; GEOLOGIC FISSURES; HEMATITE; MINERALIZATION; MUSCOVITE; QUARTZ; TOURMALINE; ALKALINE EARTH METAL COMPOUNDS; ALUMINIUM COMPOUNDS; ALUMINIUM SILICATES; BARIUM COMPOUNDS; BARIUM SULFATES; BORON COMPOUNDS; BORON SILICATES; CARBON COMPOUNDS; CAVITIES; CHALCOGENIDES; GEOLOGIC STRUCTURES; IRON COMPOUNDS; IRON ORES; IRON OXIDES; MICA; ORES; OXIDES; OXYGEN COMPOUNDS; SILICATES; SILICON COMPOUNDS; SILICON OXIDES; SULFATES; SULFUR COMPOUNDS; TRANSITION ELEMENT COMPOUNDS; 150200* - Geology & Hydrology of Geothermal Systems","","","","Geol. Landesamt Baden-Wuerttemberg, Freiburg/Br., Germany","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Jahresh. Geol. Landesamtes Baden-Wuerttemberg; (); Journal Volume: 13","","Medium: X; Size: Pages: 165-70","","","","","","","2009-12-17T00:00:00Z","7299485","https://www.osti.gov/biblio/7299485","","Jahresh. Geol. Landesamtes Baden-Wuerttemberg; ()","","13"
"Stable isotope geochemistry (in Volcanology, geochemistry and petrology, US National Report, 1967-71, 15th General Assembly, IUGG)","Clayton, R N","15 GEOTHERMAL ENERGY; GEOCHEMISTRY; BIBLIOGRAPHIES; CHEMICAL REACTIONS; HYDROTHERMAL ALTERATION; IGNEOUS ROCKS; ISOTOPES; LUNAR MATERIALS; METAMORPHIC ROCKS; METEORITES; SEDIMENTS; TEKTITES; WATER; CHEMISTRY; DOCUMENT TYPES; HYDROGEN COMPOUNDS; MINERALS; OXYGEN COMPOUNDS; ROCKS; 152000* - Geothermal Data & Theory","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; (United States); Journal Volume: 52:5","","Medium: X; Size: Pages: IUGG 106-10","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5194690","https://www.osti.gov/biblio/5194690","","EOS, Trans., Am. Geophys. Union; (United States)","","52:5"
"Graphical analysis of zeolite mineral assemblages from the Bay of Fundy area, Nova Scotia","Carpenter, A B","15 GEOTHERMAL ENERGY; ZEOLITES; NATURAL OCCURRENCE; BAY OF FUNDY; NOVA SCOTIA; QUARTZ; SYNTHESIS; ATLANTIC OCEAN; BAYS; CANADA; CHALCOGENIDES; INORGANIC ION EXCHANGERS; ION EXCHANGE MATERIALS; MINERALS; NORTH AMERICA; OXIDES; OXYGEN COMPOUNDS; SEAS; SILICON COMPOUNDS; SILICON OXIDES; SURFACE WATERS; 152002* - Geothermal Data & Theory- Properties of Minerals & Rocks","","","","Dep. Geol., Univ. Missouri, Columbia, Mo.","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Adv. Chem. Ser.; (United States); Journal Volume: 101(Molecular Sieve Zeolites-I)","","Medium: X; Size: Pages: 328-33","","","","Journal ID: CODEN: ADCSA","","","2009-12-16T00:00:00Z","5194770","https://www.osti.gov/biblio/5194770","","Adv. Chem. Ser.; (United States)","","101(Molecular Sieve Zeolites-I)"
"Present status of the zeolite facies","Coombs, D S","15 GEOTHERMAL ENERGY; ZEOLITES; HYDROTHERMAL ALTERATION; ALUMINIUM SILICATES; CALCIUM SILICATES; CARBONATES; CLAYS; DIAGENESIS; METAMORPHISM; PRESSURE DEPENDENCE; TEMPERATURE DEPENDENCE; WAIRAKITE; ALKALINE EARTH METAL COMPOUNDS; ALUMINIUM COMPOUNDS; CALCIUM COMPOUNDS; CARBON COMPOUNDS; INORGANIC ION EXCHANGERS; ION EXCHANGE MATERIALS; MINERALS; OXYGEN COMPOUNDS; SILICATES; SILICON COMPOUNDS; 152003* - Geothermal Data & Theory- Rock-Water-Gas Interactions","","","","Geol. Dep., Univ. Otago, Dunedin, N.Z.","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Adv. Chem. Ser.; (United States); Journal Volume: 101(Molecular Sieve Zeolites-I)","","Medium: X; Size: Pages: 317-27","","","","Journal ID: CODEN: ADCSA","","","2009-12-16T00:00:00Z","5194776","https://www.osti.gov/biblio/5194776","","Adv. Chem. Ser.; (United States)","","101(Molecular Sieve Zeolites-I)"
"Electricity from geothermal, nuclear, coal sources; environmental impact comparison","Bowen, R G","15 GEOTHERMAL ENERGY; GEOTHERMAL ENERGY; ELECTRIC POWER; ENVIRONMENTAL EFFECTS; COAL; COMPARATIVE EVALUATIONS; GEOTHERMAL EXPLORATION; NUCLEAR POWER; CARBONACEOUS MATERIALS; ENERGY; ENERGY SOURCES; EXPLORATION; FOSSIL FUELS; FUELS; POWER; RENEWABLE ENERGY SOURCES; 150600* - Geothermal Energy- Environmental Aspects","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Ore Bin; (); Journal Volume: 33:11","","Medium: X; Size: Pages: 197-209","","","","","","","2009-12-16T00:00:00Z","5195744","https://www.osti.gov/biblio/5195744","","Ore Bin; ()","","33:11"
"Characteristics of the temperature field of salt deposits of the Caspian depression","Zor'kin, L M; Stadnik, Ye V; Kozlov, V G","15 GEOTHERMAL ENERGY; BOREHOLES; TEMPERATURE MEASUREMENT; USSR; GEOLOGIC DEPOSITS; GEOTHERMAL FIELDS; PRESSURE MEASUREMENT; SALTS; CAVITIES; EUROPE; 150200* - Geology & Hydrology of Geothermal Systems","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Dokl. Akad. Nauk SSSR; Journal Volume: 197:1","","Medium: X; Size: Pages: 165-7","","","","Journal ID: CODEN: DANKA","","","2009-12-16T00:00:00Z","5240122","https://www.osti.gov/biblio/5240122","","Dokl. Akad. Nauk SSSR","","197:1"
"Clinoptilolite from Japan","Minato, H; Utada, M","15 GEOTHERMAL ENERGY; CLINOPTILOLITE; CHEMICAL ANALYSIS; NATURAL OCCURRENCE; JAPAN; CALCIUM; POTASSIUM; SODIUM; ZEOLITES; ALKALI METALS; ALKALINE EARTH METALS; ASIA; ELEMENTS; INORGANIC ION EXCHANGERS; ION EXCHANGE MATERIALS; METALS; MINERALS; 152002* - Geothermal Data & Theory- Properties of Minerals & Rocks","","","","Coll. Gen. Educ., Univ. Tokyo, Tokyo, Japan","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Adv. Chem. Ser.; (United States); Journal Volume: 101(Molecular Sieve Zeolites-I)","","Medium: X; Size: Pages: 311-16","","","","Journal ID: CODEN: ADCSA","","","2009-12-16T00:00:00Z","5168584","https://www.osti.gov/biblio/5168584","","Adv. Chem. Ser.; (United States)","","101(Molecular Sieve Zeolites-I)"
"Emerging geothermal power source","Laird, A D.K.","15 GEOTHERMAL ENERGY; USA; GEOTHERMAL ENERGY; POWER POTENTIAL; ENERGY; ENERGY SOURCES; NORTH AMERICA; RENEWABLE ENERGY SOURCES; 150101* - Geothermal Energy- Resources & Availability- USA- (-1989)","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; (United States); Journal Volume: 52:11","","Medium: X; Size: Pages: 814","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5210613","https://www.osti.gov/biblio/5210613","","EOS, Trans., Am. Geophys. Union; (United States)","","52:11"
"Geothermal potential of Idaho. [Review with 70 references]","Ross, S H","15 GEOTHERMAL ENERGY; IDAHO; GEOTHERMAL RESOURCES; HOT SPRINGS; THERMAL WATERS; CHEMICAL COMPOSITION; CARBONATES; CARBON COMPOUNDS; NORTH AMERICA; OXYGEN COMPOUNDS; RESOURCES; THERMAL SPRINGS; USA; 150101* - Geothermal Energy- Resources & Availability- USA- (-1989); 150302 - Geothermal Exploration & Exploration Technology- Geochemical Techniques & Surveys","","","","Univ. Idaho, Moscow, ID","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Idaho, Bur. Mines Geol., Pam.; (United States); Journal Volume: 150","","Medium: X; Size: Pages: 1-72","","","","","","","2009-12-16T00:00:00Z","5210622","https://www.osti.gov/biblio/5210622","","Idaho, Bur. Mines Geol., Pam.; (United States)","","150"
"Geothermal investigations in the Imperial Valley of California","Combs, J; Rex, R W","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL EXPLORATION; IMPERIAL VALLEY; EXPLORATION; NORTH AMERICA; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Geol. Soc. Am., Bull.; (United States); Journal Volume: 3:2","","Medium: X; Size: Pages: 101-2","","","","Journal ID: CODEN: BUGMA","","","2009-12-16T00:00:00Z","5209239","https://www.osti.gov/biblio/5209239","","Geol. Soc. Am., Bull.; (United States)","","3:2"
"Present-day zeolitic diagenesis of the Neogene geosynclinal deposits in the Niigata oil field, Japan","Utada, M","15 GEOTHERMAL ENERGY; GEOLOGIC DEPOSITS; DIAGENESIS; ZEOLITES; CLINOPTILOLITE; GEOTHERMOMETRY; GLASS; HYDROTHERMAL ALTERATION; JAPAN; QUARTZ; SEDIMENTARY ROCKS; TUFF; ASIA; CHALCOGENIDES; IGNEOUS ROCKS; INORGANIC ION EXCHANGERS; ION EXCHANGE MATERIALS; MINERALS; OXIDES; OXYGEN COMPOUNDS; ROCKS; SILICON COMPOUNDS; SILICON OXIDES; 152003* - Geothermal Data & Theory- Rock-Water-Gas Interactions","","","","Geol. Inst., Univ. Tokyo, Tokyo, Japan","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Adv. Chem. Ser.; (United States); Journal Volume: 101 (Molecular Sieve Zeolites-1)","","Medium: X; Size: Pages: 342-9","","","","Journal ID: CODEN: ADCSA","","","2009-12-16T00:00:00Z","5208093","https://www.osti.gov/biblio/5208093","","Adv. Chem. Ser.; (United States)","","101 (Molecular Sieve Zeolites-1)"
"Other underground applications of Peaceful Nuclear Explosions (in Peaceful Nuclear Explosions II)","Nordyke, M D","15 GEOTHERMAL ENERGY; GEOTHERMAL SYSTEMS; EXPLOSIVE STIMULATION; NUCLEAR EXPLOSIONS; MINING; RADIOACTIVE WASTE DISPOSAL; UNDERGROUND EXPLOSIONS; EXPLOSIONS; MANAGEMENT; WASTE DISPOSAL; WASTE MANAGEMENT; WELL STIMULATION; 150906* - Geothermal Engineering- Reservoir Stimulation & Extraction Technology","","","","","","","United States","1971-01-01T00:00:00Z","French, Russian, and Spanish summaries","Journal Article","","Journal Name: IAEA Panel Proc. Ser.; ()","","Medium: X; Size: Pages: 223-32","","","","","","","2009-12-16T00:00:00Z","5208491","https://www.osti.gov/biblio/5208491","","IAEA Panel Proc. Ser.; ()","",""
"Prediction of Old Faithful's next eruption","Barbee, J H","15 GEOTHERMAL ENERGY; OLD FAITHFUL GEYSER; FLOW RATE; MATHEMATICAL MODELS; PERFORMANCE; TIME DEPENDENCE; GEYSERS; 150201* - Geology & Hydrology of Geothermal Systems- USA- (-1989)","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Earth Sci. Bull.; (United States); Journal Volume: 4:1","","Medium: X; Size: Pages: 37-41","","","","Journal ID: CODEN: ESCBA","","","2009-12-16T00:00:00Z","5210167","https://www.osti.gov/biblio/5210167","","Earth Sci. Bull.; (United States)","","4:1"
"Determination of rock temperature when the well has not stood long enough","Kutasov, I M","15 GEOTHERMAL ENERGY; GEOTHERMAL WELLS; DRILLING; ROCK DRILLING; THERMAL EQUILIBRIUM; ROCKS; TEMPERATURE MEASUREMENT; DRILLING FLUIDS; EQUILIBRIUM; WELLS; 150901* - Geothermal Engineering- Drilling Technology & Well Hardware","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Razved. Okhr. Nedr; Journal Volume: 2","","Medium: X; Size: Pages: 32-6","","","","Journal ID: CODEN: RZONA","","","2009-12-16T00:00:00Z","5214616","https://www.osti.gov/biblio/5214616","","Razved. Okhr. Nedr","","2"
"Geothermal energy looms as economic factor","","15 GEOTHERMAL ENERGY; GEOTHERMAL ENERGY; ECONOMICS; USA; GEOTHERMAL RESOURCES; ENERGY; ENERGY SOURCES; NORTH AMERICA; RENEWABLE ENERGY SOURCES; RESOURCES; 150101* - Geothermal Energy- Resources & Availability- USA- (-1989)","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Oil Digest; (United States); Other Information: From Power from the Earth: Geothermal Energy (Bibliography), p. 4","","Medium: X","","","","","","","2009-12-16T00:00:00Z","5140864","https://www.osti.gov/biblio/5140864","","Oil Digest; (United States)","",""
"Energy (in non-metallic ores, silicates industries and solid mineral fuels). [General principles of energy production and sources]","Sanders, L G","15 GEOTHERMAL ENERGY; 14 SOLAR ENERGY; ENERGY SOURCES; GEOTHERMAL ENERGY; ELECTRICITY; NUCLEAR ENERGY; SOLAR ENERGY; ENERGY; RENEWABLE ENERGY SOURCES; 150100* - Geothermal Energy- Resources & Availability; 140100 - Solar Energy- Resources & Availability","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Chem. Technol.; (United States); Journal Volume: 2","","Medium: X; Size: Pages: 705-96","","","","Journal ID: CODEN: CHMTB","","","2009-12-16T00:00:00Z","5141073","https://www.osti.gov/biblio/5141073","","Chem. Technol.; (United States)","","2"
"Structure of molal chloride--hydrochloric acid--water and metal sulfate--sulfuric acid--water type systems. [10 to 50/sup 0/C, ambient pressure]","Berecz, E","15 GEOTHERMAL ENERGY; 37 INORGANIC, ORGANIC, PHYSICAL AND ANALYTICAL CHEMISTRY; CALCIUM CHLORIDES; VISCOSITY; HYDROCHLORIC ACID; SODIUM CHLORIDES; SULFURIC ACID; AQUEOUS SOLUTIONS; MEDIUM TEMPERATURE; ALKALI METAL COMPOUNDS; ALKALINE EARTH METAL COMPOUNDS; CALCIUM COMPOUNDS; CALCIUM HALIDES; CHLORIDES; CHLORINE COMPOUNDS; DISPERSIONS; HALIDES; HALOGEN COMPOUNDS; HYDROGEN COMPOUNDS; INORGANIC ACIDS; MIXTURES; SODIUM COMPOUNDS; SOLUTIONS; 152001* - Geothermal Data & Theory- Properties of Aqueous Solutions; 400201 - Chemical & Physicochemical Properties","","","","","","","United States","1971-01-01T00:00:00Z","Russian","Journal Article","","Journal Name: Teor. Rastvorov.; (); Journal Volume: 1971","","Medium: X; Size: Pages: 77-85","","","","","","","2009-12-16T00:00:00Z","5129216","https://www.osti.gov/biblio/5129216","","Teor. Rastvorov.; ()","","1971"
"System KCl--FeCl/sub 2/--H/sub 2/O at 0/sup 0/C. [Ambient pressure, experimental data]","Kolosov, A S; Novik, V Ph; Chuprakova, T V","15 GEOTHERMAL ENERGY; 37 INORGANIC, ORGANIC, PHYSICAL AND ANALYTICAL CHEMISTRY; IRON CHLORIDES; DENSITY; POTASSIUM CHLORIDES; AQUEOUS SOLUTIONS; WATER; ALKALI METAL COMPOUNDS; CHLORIDES; CHLORINE COMPOUNDS; DISPERSIONS; HALIDES; HALOGEN COMPOUNDS; HYDROGEN COMPOUNDS; IRON COMPOUNDS; MIXTURES; OXYGEN COMPOUNDS; PHYSICAL PROPERTIES; POTASSIUM COMPOUNDS; SOLUTIONS; TRANSITION ELEMENT COMPOUNDS; 152001* - Geothermal Data & Theory- Properties of Aqueous Solutions; 400201 - Chemical & Physicochemical Properties","","","","","","","United States","1971-01-01T00:00:00Z","Russian","Journal Article","","Journal Name: Izv. Akad. Nauk SSSR, Sib. Otd., Ser. Khim. Nauk; (); Journal Volume: 1971","","Medium: X; Size: Pages: 24-8","","","","","","","2009-12-16T00:00:00Z","5128116","https://www.osti.gov/biblio/5128116","","Izv. Akad. Nauk SSSR, Sib. Otd., Ser. Khim. Nauk; ()","","1971"
"Petrologic crystal chemistry (in Volcanology, Geochemistry and Petrology, US National Report, 1967-71, Fifteenth General Assembly, IUGG","Papike, J J","15 GEOTHERMAL ENERGY; IGNEOUS ROCKS; GEOCHEMISTRY; METAMORPHIC ROCKS; SILICATES; BIBLIOGRAPHIES; PETROLOGY; CHEMISTRY; DOCUMENT TYPES; GEOLOGY; OXYGEN COMPOUNDS; ROCKS; SILICON COMPOUNDS; 152000* - Geothermal Data & Theory","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: EOS, Trans., Am. Geophys. Union; (United States); Journal Volume: 52:5","","Medium: X; Size: Pages: IUGG 82-9","","","","Journal ID: CODEN: EOSTA","","","2009-12-16T00:00:00Z","5137032","https://www.osti.gov/biblio/5137032","","EOS, Trans., Am. Geophys. Union; (United States)","","52:5"
"Composition and origin of clinoptilolite in the Nakanosawa tuff of Rumoi, Hokkaido","Iijima, A","15 GEOTHERMAL ENERGY; CLINOPTILOLITE; CHEMICAL COMPOSITION; ORIGIN; CALCIUM; CRYSTALS; DIAGENESIS; GLASS; JAPAN; POTASSIUM; QUANTITY RATIO; SILICON; SODIUM; TUFF; ALKALI METALS; ALKALINE EARTH METALS; ASIA; ELEMENTS; IGNEOUS ROCKS; INORGANIC ION EXCHANGERS; ION EXCHANGE MATERIALS; METALS; MINERALS; ROCKS; SEMIMETALS; ZEOLITES; 152002* - Geothermal Data & Theory- Properties of Minerals & Rocks","","","","Geol. Inst., Univ. Tokyo, Tokyo, Japan","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Adv. Chem. Ser.; (United States); Journal Volume: 101(Molecular Sieve Zeolites-I)","","Medium: X; Size: Pages: 334-41","","","","Journal ID: CODEN: ADCSA","","","2009-12-16T00:00:00Z","5137091","https://www.osti.gov/biblio/5137091","","Adv. Chem. Ser.; (United States)","","101(Molecular Sieve Zeolites-I)"
"Alkali ion exchange reaction between alkali feldspars and hydrothermal solutions; replacement vs. cation exchange","Petrovic, R; Skinner, B J","15 GEOTHERMAL ENERGY; FELDSPARS; CHEMICAL REACTIONS; ION EXCHANGE; THERMAL WATERS; MINERALS; 152003* - Geothermal Data & Theory- Rock-Water-Gas Interactions","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Geol. Soc. Am., Bull.; (United States); Journal Volume: 3:7","","Medium: X; Size: Pages: 669","","","","Journal ID: CODEN: BUGMA","","","2009-12-16T00:00:00Z","5137098","https://www.osti.gov/biblio/5137098","","Geol. Soc. Am., Bull.; (United States)","","3:7"
"Genesis and causes of circulation of hydrothermal solutions","Gortsevskiy, A A","15 GEOTHERMAL ENERGY; THERMAL WATERS; ORIGIN; FLUID FLOW; 152000* - Geothermal Data & Theory","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Zap. Vses. Mineral. O-va.; (); Journal Volume: 100:6","","Medium: X; Size: Pages: 760-764","","","","Journal ID: CODEN: ZVMOA","","","2009-12-16T00:00:00Z","5137104","https://www.osti.gov/biblio/5137104","","Zap. Vses. Mineral. O-va.; ()","","100:6"
"Seismic design considerations for Plowshare geothermal power stations","Anderson, T L; Simonson, E R","15 GEOTHERMAL ENERGY; GEOTHERMAL POWER PLANTS; DESIGN; PLOWSHARE PROJECT; EARTHQUAKES; EXPLOSIVE STIMULATION; SEISMIC SURVEYS; GEOPHYSICAL SURVEYS; POWER PLANTS; SEISMIC EVENTS; THERMAL POWER PLANTS; WELL STIMULATION; 150801* - Geothermal Power Plants- Design & Operation","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Geol. Soc. Am., Bull.; (United States); Journal Volume: 3:2","","Medium: X; Size: Pages: 73","","","","Journal ID: CODEN: BUGMA","","","2009-12-16T00:00:00Z","5137905","https://www.osti.gov/biblio/5137905","","Geol. Soc. Am., Bull.; (United States)","","3:2"
"Noise measurements in a geothermal area","Goforth, T; Douze, E J; Sorrells, G G","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL EXPLORATION; IMPERIAL VALLEY; SEISMIC SURVEYS; EXPLORATION; GEOPHYSICAL SURVEYS; NORTH AMERICA; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","","","","United States","1971-01-01T00:00:00Z","English","Journal Article","","Journal Name: Geol. Soc. Am., Bull.; (United States); Journal Volume: 3:2","","Medium: X; Size: Pages: 124-5","","","","Journal ID: CODEN: BUGMA","","","2009-12-16T00:00:00Z","5138836","https://www.osti.gov/biblio/5138836","","Geol. Soc. Am., Bull.; (United States)","","3:2"
